DeviceId	Company_Name	expiry date	batteryVoltage	OnRoadSince	RPM	longitude	latitude	population	manufacturingDate
VIM_2.4_1	A	25-Jun	3.034842593	9/1/1994	0.248250636	76.88600879	29.08499274	10	7/1/1994
VIM_2.4_2	F	26-Jun	3.319091168	1/1/1993	0.531441767	76.85997467	28.30485752	20	9/1/1992
VIM_2.4_3	E	27-Jun	3.730962268	6/1/1994	0.166434334	77.45689443	28.44092632	30	3/1/1994
VIM_2.4_4	H	25-Jun	3.290342481	10/1/1992	0.226647011	77.38060371	29.03258123	40	10/1/1992
VIM_2.4_5	G	25-Jun	3.452523086	7/1/1991	0.992149889	76.88276813	28.63646225	50	4/1/1991
VIM_2.4_6	H	25-Jun	3.880657965	2/1/1995	0.987407146	76.91470003	28.68609267	60	12/1/1994
VIM_2.4_7	H	25-Jun	3.985849355	11/1/1994	0.15018664	77.29701645	28.71955223	70	11/1/1994
VIM_2.4_8	A	25-Jun	3.301351612	1/1/1995	0.035784432	76.74992073	28.30758077	80	11/1/1994
VIM_2.4_9	C	25-Jun	3.951444419	2/1/1994	0.671828539	76.75860771	29.04764432	90	10/1/1993
VIM_2.4_10	I	26-Jun	3.057712976	2/1/1992	0.938307793	77.01999392	28.66531767	100	11/1/1991
VIM_2.4_11	C	28-Jun	3.413656471	1/1/1995	0.869623651	76.91714218	29.03570077	110	12/1/1994
VIM_2.4_12	A	29-Jun	3.985824671	9/1/1993	0.705474742	76.78810044	28.88798335	120	7/1/1993
VIM_2.4_13	B	Jun-31	3.645950534	3/1/1995	0.369629228	76.86198739	28.85743437	130	12/1/1994
VIM_2.4_14	B	25-Jun	3.176414483	1/1/1994	0.699055317	77.34592869	29.05347756	140	1/1/1994
VIM_2.4_15	H	29-Feb	3.108568056	7/1/1990	0.683272941	77.31262346	28.65624695	150	6/1/1990
VIM_2.4_16	D	25-Jan	3.663637433	8/1/1991	0.146095319	77.24203199	28.98475092	160	8/1/1991
VIM_2.4_17	E	30-Jun	3.990280707	11/1/1992	0.665758702	77.46813351	28.91319137	170	10/1/1992
VIM_2.4_18	A	28-Jun	3.130306007	7/1/1990	0.158111209	77.02845581	28.69483894	180	3/1/1990
VIM_2.4_19	E	28-Jun	3.335002596	7/1/1990	0.887269054	76.73172981	28.84946579	190	3/1/1990
VIM_2.4_20	A	Jun-31	3.473377137	9/1/1990	0.510525693	77.34619165	28.86137936	200	5/1/1990
VIM_2.4_21	H	25-Jun	3.397794841	10/1/1992	0.226904682	77.14689755	28.63237644	210	7/1/1992
VIM_2.4_22	C	26-Jun	3.672172008	7/1/1993	0.964550336	77.3532854	28.9789194	220	3/1/1993
VIM_2.4_23	H	27-Jun	3.113094008	6/1/1992	0.521345128	77.17288192	28.93238712	230	3/1/1992
