DeviceId,Company_Name,SOC,Odometer,latitude,longitude,population,Region,Manufacturing_Date,On_Road_Since,Expiry_Date
VIM-1,Evy Mobility,69.4529537,24.82506355,29.08499274,76.88600879,0,Delhi,4-Aug-19,5-Dec-19,7-Jan-43
VIM-2,Napino-Hero,73.14818519,53.1441767,28.30485752,76.85997467,1,Delhi,3-Nov-19,7-Jan-20,5-Apr-44
VIM-3,Napino-Bajaj,78.50250949,16.64343343,28.44092632,77.45689443,2,Delhi,26-Sep-19,11-Dec-19,17-Dec-42
VIM-4,Vogo,72.77445225,22.66470107,29.03258123,77.38060371,3,Delhi,9-Aug-19,27-Jan-20,29-May-41
VIM-5,Bounce Share,74.88280012,99.21498895,28.63646225,76.88276813,4,Delhi,18-Sep-19,8-Jan-20,31-Dec-44
VIM-6,Vogo,80.44855355,98.74071461,28.68609267,76.91470003,5,Delhi,3-Oct-19,19-Jan-20,2-Apr-43
VIM-7,Vogo,81.81604162,15.01866397,28.71955223,77.29701645,6,Delhi,30-Nov-19,13-Jan-20,16-Dec-41
VIM-8,Evy Mobility,72.91757096,3.578443214,28.30758077,76.74992073,7,Delhi,17-Sep-19,3-Jan-20,13-Mar-42
VIM-9,Qquick,81.36877745,67.18285387,29.04764432,76.75860771,8,Delhi,24-Dec-19,8-Jan-20,2-Jan-44
VIM-10,Campus Share,69.75026869,93.83077933,28.66531767,77.01999392,9,Delhi,2-Oct-19,17-Jan-20,28-Oct-44
VIM-11,Qquick,74.37753412,86.96236511,29.03570077,76.91714218,10,Delhi,22-Jan-20,25-Jan-20,28-Feb-42
VIM-12,Evy Mobility,81.81572073,70.54747425,28.88798335,76.78810044,11,Delhi,26-Dec-19,13-Dec-19,30-Mar-44
VIM-13,Q.Te Bikes,77.39735694,36.96292282,28.85743437,76.86198739,12,Delhi,18-Aug-19,17-Jan-20,12-Apr-41
VIM-14,Q.Te Bikes,71.29338827,69.90553167,29.05347756,77.34592869,13,Delhi,8-Aug-19,23-Jan-20,23-Sep-40
